index,coref_content,industry
4,"as a result, the cabin, which looks as though it is entirely made of glass, sits apart from it set of oversized 30 inch wheels allowing passengers a higher view of the road.",automotiveEngineering
4,"developed in collaboration with goodyear, the wheels are wrapped in aerodynamic mudguards, that move independently of the body.",automotiveEngineering
4,they are equipped with sensors that monitor road and weather conditions and transmit the data to the drivetrain.,automotiveEngineering
4,"the 19_19 is similar in size to a midsize SUV, at 4655 mm long, 2240 mm wide and 1600 mm high.",automotiveEngineering
5,Mazda is a brand that gives you more than what you'd expect from a mass market automaker.,automotiveEngineering
5,"When the 2019 Mazda3 debuted at the 2018 Los Angeles auto show, the 2019 Mazda3 cemented Mazda's commitment to doing things differently.",automotiveEngineering
5,"From its engaging driving dynamics to its sultry exterior design, the 2019 Mazda3 looks more expensive than the 2019 Mazda3 actually is.",automotiveEngineering
5,Move inside and you'll immediately notice Mazda's upscale intentions with an interior that sweats every detail to ensure the car feels special.,automotiveEngineering
5,"Despite its humble underpinnings, the 2019 Mazda3 proves that great engineering creates solid vehicles that are sporty yet comfortable.",automotiveEngineering
5,"The 2019 Mazda3 moves the Japanese automaker closer to premium territory with The 2019 Mazda3 sensuous new look, and a new platform that yields a smoother ride without sacrificing the brand's renowned athleticism.",automotiveEngineering
5,"Supportive seats that offer high levels of comfort, a long list of available driver assist tech, and an updated infotainment system featuring a large 8.8-inch screen controlled by a rotary knob evoke vehicles with higher price tags and more desirable badges.",automotiveEngineering
6,Mercedes’ first proper electric car hits a competitive mark dynamically and might exceed rivals for comfort and refinement.,automotiveEngineering
6,Big appeal for both the eco-conscious and tech-savvy; maybe a touch less for the interested driver.,automotiveEngineering
6,What is it?,automotiveEngineering
6,"For a company that has built a reputation on technical innovation, Mercedes has been uncharacteristically slow to launch a series-production electric car.",automotiveEngineering
6,"Now that it has and the Mercedes EQC crossover SUV is finally with us, it couldn’t have picked a location for the international press launch better than Oslo for highlighting just how long it has dallied.",automotiveEngineering
6,"Here, every other car you see is electric.",automotiveEngineering
6,"If London was the same, you’d probably have to take London was the same in turns with your neighbours to boil your kettle on weekday evenings, after everyone in the city had arrived home and plugged in.",automotiveEngineering
6,"Because Mercedes is Mercedes, of course – the oldest name in the car business and still the most revered around much of the world, and now the biggest-selling premium automotive brand in the world, too – it’s still a big deal whenever it does anything for the first time.",automotiveEngineering
7,"Enlarge ImageBetween this and the Venue, Hyundai Motor Group is on a visual roll right now.",automotiveEngineering
7,What's the best way to market a car to millennials?,automotiveEngineering
7,"By making one that's small enough for them to actually afford, duh.",automotiveEngineering
7,Kia on Tuesday unveiled the first sketches of Kia upcoming small SUV.,automotiveEngineering
7,"We won't see the full thing until the summer, but for now, the sketches give We an idea of what Kia will bring to market in an effort to woo urbanite millennials into car ownership.",automotiveEngineering
7,"The car will allegedly be a global SUV, meaning The car's destined for a whole bunch of markets, but considering Autocar's report claims Autocar's report won't be coming to Europe, it's uncertain if the US is involved in this rollout.",automotiveEngineering
7,"It's also unclear if Kia actually understands what ""global"" means.",automotiveEngineering
7,"From the design side, Kia apparently took a boatload of inspiration from Kia SP Signature Concept, which debuted at the Seoul Motor Show in March.",automotiveEngineering
8,"""Make it more confident and intuitive to drive.""",automotiveEngineering
8,"That was the feedback current owners of Ford's wild-child, track-rat, flat-plane-crank, manual-only Mustang Shelby GT350 offered when the development team went asking.",automotiveEngineering
8,"Although buyers of the Shelby GT350R tend to be pretty accomplished shoes, buyers of the ""base"" GT350 are more likely to drive buyers of the ""base"" GT350 cars daily and take their cars to a track much less frequently.",automotiveEngineering
8,"As such, these owners tend to be less practiced and more fearful of wadding up these owners babies.",automotiveEngineering
8,"The team kept this wish in mind as this wish pushed the current Mustang platform to new levels of performance while developing the forthcoming GT500, and is now rolling out a new GT500 with higher performance limits that are easier to reach.",automotiveEngineering
8,(The GT350R remains unchanged for 2019.),automotiveEngineering
8,"Assisting with the aforementioned development was veteran race driver Billy Johnson, who's spent three years working with the team while also racing Ford GTs and prepping the Mustang GT4 race car, which he's campaigning this year.",automotiveEngineering
9,"Design studio Mandalaki introduced the Birò O2 during Milan design week — an 80% recycled plastics concept version of Estrima’s Birò 4-wheel, all-electric city car.",automotiveEngineering
9,Current Birò owners will be hard-pressed to see any differences in the recycled version from the current model.,automotiveEngineering
9,The Birò is a tiny two-seater sold in Europe.,automotiveEngineering
9,"The EV city car fits in scooter-size parking spaces and has a removable battery in a case with wheels and a telescoping handle so owners can easily pull a removable battery into home or office for recharging, Dezeen reported.",automotiveEngineering
9,"Unlike most car maker’s concept vehicles, which don’t appear on the market for several years and with only hints of their initial design elements, Estrima and Mandalaki expect to start selling the Birò O2 in July.",automotiveEngineering
9,Mandalaki ground plastic waste materials into a fine powder.,automotiveEngineering
9,The powder was then used in a molding process to create the Birò O2’s structural parts of the car.,automotiveEngineering
10,"Name: Honda SSM (Sport Study Model)
Debuted: 1995 Tokyo Motor Show
Specs: 2.0-liter inline-five engine, rear-wheel drive, NSX-derived five-speed automatic transmission, 50:50 weight distribution, 155 mph (250 kph) top speed
Why We Remember It Now:
With the S2000 being one of the most beloved Honda sports cars in existence, We figured a closer look at the roadster’s inception would be worthy of your time.",automotiveEngineering
10,"Honda has repeatedly ruled out the idea of bringing back the S2000, the open-top sports car Honda sold between 1999 and 2009 during which Honda spawned two generations.",automotiveEngineering
10,That doesn’t stop us from dialing us time machine to the mid-1990s to discover the early days of the S2000 and Honda’s first crack at the little roadster.,automotiveEngineering
10,"Partially responsible for the somewhat quirky styling of the two-seater was none other than Pininfarina, with the famous Italian design house envisioning the SSM with low-slung headlights and a long hood.",automotiveEngineering
11,There have been many concept cars in automotive history that all car fan can only wish had been made.,automotiveEngineering
11,Concept cars are often among the most important debuts at auto shows because Concept cars shape or technology can give the public a glimpse at what a company plans to put on the road in the near future.,automotiveEngineering
11,"Unfortunately, the gorgeous concept cars simply fade away, and never make it onto the roads.",automotiveEngineering
11,"These classic concepts have been updated by car care products specialist, Chipex into modern supercars.",automotiveEngineering
11,"1976 Chevrolet Aerovette
We’ll start with the 1977 Chevrolet Aerovette.",automotiveEngineering
11,"Built from the mid-engine ‘Vette prototypes of famous Corvette engineer Zora Arkus-Duntov, The Aerovette had the same mid-engine configuration but had a 6.6-L V8 instead of a smaller Wankel rotary engine.",automotiveEngineering
11,"The mid-engined Chevrolet Corvette is big news today, but the idea of putting the powerplant behind the ‘Vette’s driver goes back decades.",automotiveEngineering
12,BYD debuted BYD E-SEED GT concept car and Song Pro SUV alongside BYD all-new e-series models at the Shanghai International Automobile Industry Exhibition.,automotiveEngineering
12,"The company also showcased The company latest Dynasty series of vehicles, which were recently unveiled at the company’s spring product launch in Beijing.",automotiveEngineering
12,"A total of 23 new car models were exhibited at the event, held at Shanghai’s National Convention and Exhibition Center, fully demonstrating the BYD New Architecture (BNA) design, the 3rd generation of Dual Mode technology, plus the e-platform framework.",automotiveEngineering
12,"Today, China’s new energy vehicles have entered the ‘fast lane’, ushering in an even larger market outbreak.",automotiveEngineering
12,"Presently, we stand at the intersection of old and new kinetic energy conversion for mobility, but also a new starting point for high-quality development.",automotiveEngineering
12,"To meet the arrival of complete electrification, BYD has formulated a series of strategies, and is well prepared.",automotiveEngineering
13,Genesis's new Mint concept is a two-door electric city car that the brand would like to see enter production in the future.,automotiveEngineering
13,The cargo space is accessed by two reverse-opening scissor doors on the sides of the car.,automotiveEngineering
13,The interior features a bench seat and minimal instrumentation.,automotiveEngineering
13,"Genesis thinks it's time to break the luxury-car mold, and it's doing so with a new concept car that has made Genesis debut at the New York auto show.",automotiveEngineering
13,"Called the Mint, the name comes from the car's bright matte Hunter Green paint, the name's a two-seat, two-door electric city car that's a little hard to figure out.",automotiveEngineering
13,"At a preview event in New York City ahead of the Mint's unveiling, we got to get up close with the car and learn more about the car from Genesis's executive vice president, Manfred Fitzgerald, and Hyundai's global head of design,  SangYup Lee.",automotiveEngineering
14,Kia's new electric car is called the Niro EV.,automotiveEngineering
14,Now its electric concept car is the HabaNiro.,automotiveEngineering
14,Get it?,automotiveEngineering
14,"If the name is already too much, you won't be able to handle the ridiculous details about the crossover compact SUV shown at the New York International Auto Show Wednesday.",automotiveEngineering
14,"SEE ALSO: Kia’s Imagine concept car uses 21 smartphones to mock dash screens
First, the not-so-hot-and-spicy specs: it's an all-electric, all-wheel drive, four-seater with 300-mile range and full autonomy capability with butterfly-wing doors.",automotiveEngineering
14,"While the HabaNiro is just an idea, the HabaNiro could pave the way for future electric vehicles beyond the Niro, which recently went all electric after debuting as a hybrid vehicle a few years ago.",automotiveEngineering
14,"The outside of the HabaNiro naturally includes ""lava red"" panels on the HabaNiro sides and a ""shark's snout"" grille up front with what Kia calls a slit-like gap with glossy black aluminum ""teeth.""",automotiveEngineering
15,"Porsche has unveiled the Cayenne S coupe, which slots between the base model and the Turbo in the Cayenne coupe lineup.",automotiveEngineering
15,"The S coupe has a twin-turbocharged 2.9-liter V-6 making 434 horsepower, and The S coupe 4.7-second claimed zero-to-60-mph time splits the difference between the other two models.",automotiveEngineering
15,We expect two more Cayenne coupe variants to be revealed later this year.,automotiveEngineering
15,"When Porsche unveiled the Cayenne coupe back in March, Porsche started with the top and bottom ends of the lineup, showing off the base Cayenne and high-performance Turbo models.",automotiveEngineering
15,"We knew that those two models being the only coupes on offer wouldn't last long, and We were right.",automotiveEngineering
15,"Porsche has now announced the Cayenne S coupe, which perfectly slots in between the two already revealed models.",automotiveEngineering
15,"Porsche Like the S version of the standard Cayenne, the S coupe uses a twin-turbo 2.9-liter V-6 making 434 horsepower and 405 lb-ft of torque.",automotiveEngineering
16,"May 15, 2019, 4:11am ETby Ronan GlonThe Coupe line-up gains a mid-range model.",automotiveEngineering
16,Porsche has expanded the Cayenne Coupe line-up with a mid-range model called S. Porsche slots between the entry-level Cayenne Coupe and the range-topping Cayenne Coupe Turbo in the growing model hierarchy.,automotiveEngineering
16,The Cayenne S Coupe is mechanically identical to the Cayenne S that's already part of the Porsche family.,automotiveEngineering
16,"That means power comes from a twin-turbocharged, 2.9-liter V6 engine tuned to develop 434 horsepower from 5,700 to 6,600 rpm and 405 pound-feet of torque over a broad range that stretches from 1,800 to 5,500 rpm.",automotiveEngineering
16,The six spins the four wheels through an eight-speed automatic transmission.,automotiveEngineering
16,"Porsche pegs the mid-range model's zero-to-60-mph time at 4.7 seconds with the standard Sport Chrono package, and Porsche top speed at 164 mph.",automotiveEngineering
17,"Of course the Cayenne S Coupe was coming, the Cayenne S Coupe is Porsche we’re talking about, after all.",automotiveEngineering
17,"It follows the debut of the base Cayenne Coupe and the Cayenne Coupe Turbo earlier this year, and It neatly splits the difference between the two.",automotiveEngineering
17,"Essentially, the Cayenne Coupe is mostly an aesthetic upgrade over the Cayenne Coupe full-bodied sibling.",automotiveEngineering
17,"The S has the same swept-back, lower-slung hatchback profile as the other coupe trims, shaving 0.8-inch from the roofline and increasing the rear track by 0.7 inch.",automotiveEngineering
17,"It uses the same 2.9-liter twin-turbocharged V-6, pushing out a meaty 434 horsepower and 405 lb-ft of torque.",automotiveEngineering
17,Power is routed to all four wheels through the familiar eight-speed automatic transmission.,automotiveEngineering
17,"As a result, performance is snappy.",automotiveEngineering
17,"The zero-to-60-mph run takes 4.7 seconds, according to Porsche, a 0.2-second improvement over the standard Cayenne S, but that’s primarily due to the Coupe arriving standard with the launch-control-adding Sport Chrono pack.",automotiveEngineering
18,"The Audi A4 has been refreshed to bring the sedan more in-line with the style and technology offerings of other cars in the brand's lineup, Audi announced Wednesday.",automotiveEngineering
18,"The differences outside are immediately evident, with the updated A4 now bearing more of a visual similarity to the latest A6 and A7.Enlarge ImageAudi says the updated A4 is ""tauter and sportier"" thanks to this update.",automotiveEngineering
18,"For starters, the A4 now has a wider and flatter interpretation of Audi's Singleframe front grille design, as well as new LED headlights with multiple-element running lights.",automotiveEngineering
18,"There are 12 new paint colors, Audi says, and around back the car's taillights also now have a more modern design that matches the A6 and A7.Moving inside, the biggest changes comes at the top of the dashboard, where the A4's old infotainment system has been replaced by Audi's newest 10.1-inch MMI touchscreen.",automotiveEngineering
19,"The A4 represents the core of the brand – after four years in the making, Audi has made the successful midsize model even tauter and sportier.",automotiveEngineering
19,Its exterior is integrated into the brand’s new design language; the large MMI touch display offers the kind of operating experience customers will be familiar with from the large MMI touch display smartphone.,automotiveEngineering
19,Many engine options now come with mild-hybrid systems (MHEV) – efficiency and comfort benefit from this broad-based electrification.,automotiveEngineering
19,"This also applies to the Audi S4 TDI (combined fuel consumption 6.3 – 6.2 l/100 km (37.3 - 37.9 US mpg)*; combined CO2 emissions 166 – 163 g/km (267.2 – 262.3 g/mi)*, with a V6 TDI under the hood for the first time, a 48-volt main electrical system and an electric powered compressor (EPC), which lends its beefy acceleration even more spontaneity.",automotiveEngineering
19,"This combination of power, torque and efficiency makes This combination of power, torque and efficiency unique in the segment.",automotiveEngineering
20,"Key PointsFord Motor issued a recall of more than 270,000 Fusion vehicles in North America because of a transmission issue that can allow the cars to shift into a different gear than the one the driver selected.",automotiveEngineering
20,This can cause the vehicles to roll away if the parking brake is not applied.,automotiveEngineering
20,"Ford said Ford is aware of three reports of property damage due to the issue and one injury  ""potentially"" related to the problem.",automotiveEngineering
20,"Ford Motor Co. Fusion vehicles move down the production line at the Flat Rock Assembly Plant in Flat Rock, Michigan.",automotiveEngineering
20,"Jeff Kowalsky | Bloomberg | Getty ImagesFord Motor said Wednesday that Getty ImagesFord Motor is recalling more than 270,000 Fusion vehicles in North America to fix a transmission glitch that can cause the car to shift gears and roll away.",automotiveEngineering
20,"The recall is for 2013-16 Fusion vehicles with 2.5-liter engines that were built at the automaker's Flat Rock, Michigan, and Hermosillo, Mexico, assembly plants.",automotiveEngineering
20,"The company said the bushing that attaches the shifter cable to the vehicle's transmission may detach, which can result in  ""unintended vehicle movement.""",automotiveEngineering
21,There's one specific vehicle type to blame.,automotiveEngineering
21,"It was back in 2014 when Mercedes-Benz began building Mercedes-Benz C-Class in Vance, Alabama, the only factory the German automaker has in the US.",automotiveEngineering
21,The non-union facility obviously angered German union officials who were not happy seeing the hot-selling C-Class being built overseas.,automotiveEngineering
21,"Well, at least it was hot-selling.",automotiveEngineering
21,Automotive News has learned that Mercedes is strongly considering ending C-Class production in the US in order to make room for the types of vehicles Americans want most: SUVs and crossovers.,automotiveEngineering
21,"The C-Class has been the automaker’s best-selling sedan for many years globally, but having local production for the American market also means catering to what that domestic market demands.",automotiveEngineering
21,"It’s hard to believe that only five years ago C-Class production got underway in Alabama, which was an expensive plan for Mercedes to enact.",automotiveEngineering
22,"Mercedes, which makes C-Class sedans at its Alabama plant in Vance, is considering shifting that production out of the country to focus on SUVs and light trucks that are becoming more popular in the United States, according to Automotive News.",automotiveEngineering
22,"(Photo by Joe Songer/AL.com)     By Greg Garrison | ggarrison@al.com     Mercedes-Benz, which makes C-Class sedans at its Alabama plant in Vance, is considering shifting that production out of the country to focus on SUVs and light trucks that are becoming more popular in the United States, according to Automotive News.“According to industry forecaster LMC Automotive, C-class sedan production in Vance will end in the fourth quarter of 2020,” Automotive News said.",automotiveEngineering
22,"""The SUV has really expanded from a consumer standpoint,"" said Jeff Schuster, president of global forecasting at LMC.",automotiveEngineering
22,"""That's where the volume is; that's where the future is.",automotiveEngineering
23,Citroën is celebrating Citroën 100-year anniversary with a new concept car called the 19_19 — denoting 1919 – 2019.,automotiveEngineering
23,"Inspired by its Wankel-powered Citroën RE-2 helicopter from the ’70s, the 19_19 borrows a similar all-glass cabin and rounded shape.",automotiveEngineering
23,The mid-sized SUV sits at an elevated height due to the 30-inch wheels and is powered by a 100kwh battery that sends electricity to two dual motors that produce 456bhp and 800nm of torque — capable of launching 0-62mph in five seconds.,automotiveEngineering
23,"Made to be a “living room on wheels,” the SUV offers extreme comfort to the SUV occupants as the entire interior has been upholstered in padded materials, with the entire rear seats turned into one giant curved sofa while the passenger seat resembles that of a cushioned pool-side lounge chair.",automotiveEngineering
23,"As this is currently still a concept, there’s no news yet on if Citroën will be producing something similar to the 19_19 in the future, but nonetheless, no news’s still and interesting way to usher in the French automobile manufacturer’s centenary.",automotiveEngineering
24,"This year marks the centenary of Citroën, a company named after a guy named after a lemon that has proven to be one of the most consistently innovative and bold automakers for an entire century.",automotiveEngineering
24,"The company was one of the pioneers of unibodies and front-wheel drive, developed novel suspension systems, had striking styling, and The company continues that to this day.",automotiveEngineering
24,"This new concept, called the 19_19 (named for 1919, the year Citroën was founded), is an interesting example of where they’re imagining the future to be headed while referencing a lot of the old ideas that made Citroën what it is today.",automotiveEngineering
24,"I think the key element of the 19_19, and the one that is most archetypically Citroën, is the fact that they describe the car as having a “true magic carpet ride.” Citroëns have always sought to make Citroëns cars feel like Citroëns float over the chaos of the surface, employing hydropneumatic suspension systems starting with the Traction Avant and then into the iconic DS that absorb shocks remarkably well, so much so that Rolls-Royce licensed Rolls-Royce system, unable to come up with anything better.",automotiveEngineering
24,"The latest technology to achieve the magical carpet goal is described as (emphasis mine): “Taking comfort to a new level with a cabin constituting a true living room on wheels, 19_19 Concept pushes back the limits of the Citroën Advanced Comfort® programme.",automotiveEngineering
25,"Citroën is due to present Citroën 19_19 Concept in a world premiere at the Viva Technology event, held May 16-18, in Paris.",automotiveEngineering
25,"While marking the brand's 100th anniversary, the concept also expresses Citroën's vision of extended mobility to escape the city, prioritizing comfort, electric power and autonomous driving functions.",automotiveEngineering
25,The Citroën 19_19 Concept represents the brand's future vision of ultra-comfort and extended mobility.,automotiveEngineering
25,"While the concept's name nods to Citroën's 100th anniversary (1919-2019), this car is decidedly focused on the future with its all-electric drivetrain, autonomous driving technologies and proactive personal assistant.",automotiveEngineering
25,"This fully electric vehicle has a 340kW motor (equivalent to 462 horsepower), promising 0-100km/h acceleration in five seconds and a top speed of 200km/h.",automotiveEngineering
26,"The next-gen S-Class is probably one of the largest, most expensive undertakings in the history of Mercedes-Benz.",automotiveEngineering
26,"With about a year to go before the reveal, we have fresh footage of the all-important interior.",automotiveEngineering
26,4 photosScreens are now where the big automotive battle is won and lost.,automotiveEngineering
26,"We've seen how Volkswagen has a Mercedes-like setup lined up for Volkswagen next Golf, but the S-Class is ready to retaliate.",automotiveEngineering
26,"Rather than two screens joined to make a panoramic pixel view like you see on the current model, the W223 will have one tablet in front of the driver and another much larger one controlling all the major function perched on the tunnel.",automotiveEngineering
26,This latest spy video from WalkoArt reveals that the digital gauge also features a notch at the top of what's probably a 12-inch HD display.,automotiveEngineering
26,"Cynics will say Mercedes just wanted to copy the iPhone's notch, but that's not what's happening here.",automotiveEngineering
27,Mazda brings in one of the world's most famous photographers to capture Mazda latest model.,automotiveEngineering
27,Photos and details.,automotiveEngineering
27,"That's what we look for, and bring to you, when an automaker reveals a new car.",automotiveEngineering
27,"But Mazda, having already revealed the new Mazda3 at the 2018 LA Auto Show late last year, has taken Mazda photography to another level.",automotiveEngineering
27,"To showcase its stylish new model – now entering its fourth generation – the Japanese automaker solicited the services of the world-renowned photographer John Rankin Waddell, better known simply as Rankin.",automotiveEngineering
27,And the images he captured of the new hatchback (pictured in red) and sedan (grey) are rather stunning to behold.,automotiveEngineering
27,"Each of the six photos was given Each of the six photos evocative name: Release, Liberation, Zeal, Serenity, Panache, and Verve (in the order in which they're presented above and below).",automotiveEngineering
27,And they weren't manipulated in Photoshop (or some other post-production retouching tool) either.,automotiveEngineering
28,Nissan began offering all-wheel drive on Nissan latest Altima sedan in the U.S. market in November.,automotiveEngineering
28,"Since then, then says more than 20% of buyers in the U.S. have opted for the $1,350 package.",automotiveEngineering
28,(Photo: Nissan)All-wheel drive sedans used to be a niche market limited to park rangers and uptight snow-belt drivers.,automotiveEngineering
28,"These days, These days’re becoming a more popular choice for decidedly mainstream models.",automotiveEngineering
28,"The latest entrants to the all-wheel stable include the Mazda6, Nissan Altima and Toyota Prius.",automotiveEngineering
28,"As sales of crossovers, sport utility vehicles and pickups have grown, automakers are equipping more of automakers sedans with all-wheel drive to hang onto buyers wanting more SUV-like features.",automotiveEngineering
28,"All-wheel or four-wheel drive is standard on most SUVs and trucks, helping to boost its availability to a record 63.4% of new vehicles sold last year, up from 56.4% a decade ago, according to data from Edmunds.",automotiveEngineering
29,Tesla has released a new wheel design for Model X – the first new wheel design for the electric SUV in a long time.,automotiveEngineering
29,"Back in 2016, Tesla introduced new stock wheels for the Model S called Slipstream wheels.",automotiveEngineering
29,"As we previously mentioned in we report on comments about the Model 3 aero wheels by the automaker’s former head of aerodynamics, the new wheels have been designed for aerodynamic performance.",automotiveEngineering
29,"Now Tesla is bringing the same style of wheel as a 20″ option to the Model X, but with a new two-tone design.",automotiveEngineering
29,"They automaker recently updated They online design studio to add the new $2,000 option:They’s a rare new wheel option for Tesla’s flagship vehicles.",automotiveEngineering
29,Here’s another look at the wheel:The new option comes after Tesla released new longer-range versions of the Model S and Model X and changed the options and pricing structure last month.,automotiveEngineering
30,"Another day, another set of headlights preventing a car from earning the Insurance Institute for Highway Safety's highest award.",automotiveEngineering
30,"The IIHS announced this week that both the hatchback and sedan variants of the 2019 Mazda3 have received the Institute's Top Safety Pick award, The IIHS second highest.",automotiveEngineering
30,"In order to reach this level, a vehicle must withstand a variety of crash tests, in addition to passing evaluations of a vehicle headlights and safety systems.",automotiveEngineering
30,"In its crash tests, both Mazda3 bodies fared very well, achieving the top rating of Good in every test.",automotiveEngineering
30,"This includes the new passenger-side small overlap crash test, which was recently instituted to help keep automakers on their toes, safety-wise.",automotiveEngineering
30,Yet the Mazda3 sailed through every test.,automotiveEngineering
30,"Safety system evaluation was equally positive, with both body styles achieving the top Superior rating for both body styles achieving the top Superior rating for their crash avoidance systems crash avoidance systems.",automotiveEngineering
31,"The Puma is coming back, but not as a stylish coupe.",automotiveEngineering
31,"You could say April was the month of SUVs at Ford taking into consideration that aside from unveiling the next-generation Kuga / Escape and the Europe-bound Explorer PHEV, the Blue Oval also previewed a reborn Puma.",automotiveEngineering
31,"Well, maybe “reborn” is not the best term to use since it won’t be coming back as the attractive coupe it was during the late 1990s and early 2000s, but as a small SUV to complement the EcoSport.",automotiveEngineering
31,"During the event held in Amsterdam, Ford brought the all-new Puma on stage, but dimmed the lights to conceal the SUV’s design.",automotiveEngineering
31,"For this Friday’s render, we asked we Photoshop master to figure out what hiding in the darkness by imagining the 2020 Puma in production guise.",automotiveEngineering
31,"Since it’s essentially an SUV version of the latest-generation, not-for-America Fiesta, it makes sense that the styling is heavily inspired by the supermini.",automotiveEngineering
32,"BMW's next electric vehicle, which will likely be named either the i5 or, appropriately enough, the iNEXT, was spied during testing.",automotiveEngineering
32,"These photos don't reveal a lot about the exterior styling of the upcoming electrified crossover, but we do have we first look at the interior of the new BMW.",automotiveEngineering
32,"At this point, we have absolutely no details about the powertrain in this new vehicle.",automotiveEngineering
32,All we have are these excellent close-up photos from our spy photographer.,automotiveEngineering
32,"Despite the heavily camouflaged front and rear end of the i5/iNEXT, we can more or less clearly see the slim LED headlights, which are evocative of the current i8.",automotiveEngineering
32,"Given that this is, after all, a BMW, some familial resemblance to existing BMW i models is to be expected.",automotiveEngineering
32,"In addition, we can make out the general roofline and overall shape of the upcoming crossover.",automotiveEngineering
32,There aren't any surprises here – its silhouette looks very similar to BMW's current crossover/SAV lineup.,automotiveEngineering
33,It’s been upwards of 10 years since a new Chevrolet Trailblazer graced roads in the United States.,automotiveEngineering
33,"The portly SUV was dropped in 2009, though a second-generation continued in select overseas markets.",automotiveEngineering
33,"Now, the moniker is back as part of GM’s ever-expanding SUV lineup, looking much like a smaller Chevy Blazer and slotting accordingly into Chevrolet’s hierarchy between the entry-level Trax and Equinox.",automotiveEngineering
33,"Little is known about the new offering, as Chevrolet dropped a press release on the Trailblazer without including any specific details aside from a slathering of standard-issue driver safety systems.",automotiveEngineering
33,"Among them are features like auto emergency braking, lane-keep assist, and lane-departure warning, while other convenience features like parking assist are optional.",automotiveEngineering
